Hz	Up 0.05 #1	Up 0.05 #2	Up 0.05 #3	Up 0.05 #4	Up 0.05 #5	Up 0.1 #1	Up 0.1 #2	Up 0.1 #3	Up 0.1 #4	Up 0.1 #5	NG #1	NG #2	NG #3	NG #4	NG #5	REF	UP	LOW	MASK
212	116.278	116.209	116.869	116.913	116.434	116.448	116.077	116.384	116.575	116.159	117.305	117.319	117.06	117.417	117.216	116.411	118.111	114.711	1.7
224	116.767	116.763	117.37	117.411	116.929	116.933	116.565	116.9	117.057	116.657	117.801	117.808	117.556	117.908	117.696	116.935	118.635	115.235	1.7
236	117.227	117.151	117.829	117.875	117.394	117.384	117.019	117.33	117.514	117.117	118.254	118.277	118.015	118.37	118.16	117.431	119.131	115.731	1.7
250	117.743	117.673	118.334	118.379	117.886	117.861	117.524	117.841	118.021	117.627	118.76	118.772	118.491	118.856	118.655	117.971	119.671	116.271	1.7
265	118.254	118.209	118.833	118.886	118.39	118.327	118.057	118.357	118.518	118.133	119.244	119.254	118.953	119.356	119.12	118.498	120.198	116.798	1.7
280	118.736	118.683	119.298	119.345	118.871	118.821	118.536	118.823	118.977	118.609	119.694	119.72	119.435	119.836	119.563	118.983	120.683	117.283	1.7
300	119.334	119.28	119.881	119.926	119.476	119.481	119.143	119.425	119.596	119.215	120.299	120.305	120.081	120.409	120.172	119.57	121.27	117.87	1.7
315	119.751	119.693	120.286	120.342	119.896	119.902	119.556	119.831	120.013	119.625	120.718	120.708	120.503	120.823	120.584	119.991	121.691	118.291	1.7
335	120.273	120.205	120.79	120.848	120.421	120.384	120.078	120.339	120.526	120.138	121.223	121.206	121.018	121.315	121.088	120.558	122.258	118.858	1.7
355	120.754	120.709	121.261	121.315	120.914	120.798	120.561	120.83	121.009	120.615	121.688	121.671	121.493	121.777	121.56	121.075	122.775	119.375	1.7
375	121.215	121.104	121.702	121.756	121.371	121.262	121.016	121.277	121.468	121.083	122.129	122.097	121.942	122.204	121.994	121.556	123.256	119.856	1.7
400	121.757	121.742	122.22	122.273	121.929	121.79	121.563	121.815	122.003	121.629	122.64	122.613	122.46	122.716	122.508	122.112	123.812	120.412	1.7
425	122.255	122.295	122.713	122.769	122.445	122.296	122.076	122.322	122.525	122.143	123.128	123.087	122.975	123.173	122.992	122.645	124.345	120.945	1.7
450	122.759	122.838	123.18	123.235	122.945	122.789	122.572	122.806	123.023	122.632	123.597	123.551	123.44	123.656	123.464	123.142	124.842	121.442	1.7
475	123.248	123.321	123.642	123.689	123.418	123.25	123.047	123.266	123.497	123.1	124.047	123.996	123.905	124.099	123.914	123.626	125.326	121.926	1.7
500	123.695	123.79	124.08	124.116	123.878	123.699	123.507	123.72	123.959	123.557	124.48	124.423	124.348	124.534	124.346	124.084	125.784	122.384	1.7
530	124.237	124.354	124.596	124.622	124.419	124.225	124.042	124.244	124.497	124.086	124.987	124.933	124.871	125.03	124.854	124.63	126.33	122.93	1.7
560	124.768	124.872	125.097	125.12	124.945	124.742	124.573	124.756	125.032	124.606	125.481	125.417	125.381	125.521	125.354	125.149	126.849	123.449	1.7
600	125.461	125.585	125.761	125.779	125.648	125.417	125.262	125.443	125.736	125.307	126.142	126.066	126.043	126.173	126.015	125.837	127.537	124.137	1.7
630	125.977	126.105	126.262	126.264	126.173	125.924	125.784	125.948	126.247	125.823	126.632	126.577	126.556	126.66	126.506	126.35	128.05	124.65	1.7
670	126.672	126.807	126.93	126.93	126.865	126.607	126.476	126.623	126.942	126.499	127.297	127.231	127.23	127.318	127.172	127.031	128.731	125.331	1.7
710	127.358	127.495	127.592	127.585	127.539	127.284	127.162	127.292	127.632	127.173	127.954	127.893	127.894	127.983	127.826	127.702	129.402	126.002	1.7
750	128.033	128.167	128.246	128.244	128.222	127.949	127.833	127.948	128.318	127.845	128.608	128.521	128.552	128.629	128.48	128.363	130.063	126.663	1.7
