## SPL DATA
	Standard	#1 Test	#2 Test	#3 Test	#4 Test	#5 Test	#6 Test	#7 Test	#8 Test	#9 Test	#10 Test	#1 Thường	#2 Thường	#3 Thường	#4 Thường	#5 Thường	#6 Thường	#7 Thường	#8 Thường	#9 Thường	#10 Thường
3000	116.494	116.4	116.372	116.68	116.25	116.621	116.404	116.383	116.277	116.605	116.517	116.548	116.244	116.355	116.55	116.324	116.507	116.345	116.278	116.553	116.485
3150	116.298	116.227	116.119	116.472	115.984	116.434	116.175	116.171	116.042	116.375	116.3	116.32	116.005	116.133	116.333	116.123	116.255	116.091	116.034	116.269	116.248
3350	116.236	116.203	116.069	116.466	116.014	116.353	116.176	116.198	116.005	116.354	116.294	116.353	115.967	116.158	116.281	116.071	116.186	116.045	115.969	116.181	116.173
3550	116.56	116.594	116.441	116.838	116.379	116.645	116.542	116.502	116.336	116.733	116.755	116.637	116.271	116.483	116.432	116.379	116.43	116.388	116.227	116.458	116.348
3750	117.241	117.054	116.923	117.252	116.747	117.048	116.934	116.901	116.661	117.104	117.276	117.05	116.723	116.949	116.984	117.002	116.896	116.798	116.747	116.981	116.845
4000	118.414	118.07	117.926	118.401	117.864	118.274	118.043	117.998	117.889	118.371	118.256	118.1	117.879	118.114	118.022	118.06	117.973	117.841	117.726	117.973	118.058
4250	119.636	119.352	119.214	119.623	119.129	119.523	119.213	119.221	119.238	119.565	119.409	119.363	119.01	119.283	119.459	119.411	119.335	119.165	119.19	119.321	119.357
4500	120.772	120.574	120.474	120.842	120.285	120.79	120.38	120.425	120.391	120.777	120.704	120.584	120.223	120.478	120.636	120.506	120.542	120.395	120.345	120.519	120.581
4750	121.927	121.754	121.652	122.157	121.489	122.032	121.67	121.635	121.63	122.051	121.875	121.805	121.554	121.807	121.843	121.681	121.846	121.556	121.55	121.762	121.837
5000	121.917	121.706	121.612	122.173	121.572	122.004	121.721	121.787	121.626	122.117	121.981	121.842	121.668	121.943	121.865	121.672	121.915	121.698	121.607	121.802	121.867
5300	119.82	119.676	119.609	119.931	119.433	119.801	119.619	119.694	119.407	119.957	119.898	119.701	119.491	119.835	119.624	119.791	119.71	119.584	119.499	119.524	119.635
5600	117.046	116.676	116.662	116.923	116.412	116.89	116.657	116.718	116.335	116.932	116.909	116.697	116.648	116.934	116.861	116.849	116.859	116.756	116.603	116.516	116.66
6000	113.755	113.355	113.272	113.506	113.152	113.504	113.365	113.467	113.127	113.556	113.545	113.306	113.306	113.653	113.537	113.726	113.426	113.433	113.266	113.118	113.447
6300	111.782	111.365	111.146	111.435	111.086	111.376	111.419	111.532	111.035	111.573	111.344	111.446	111.41	111.736	111.511	111.785	111.586	111.554	111.363	111.032	111.542
6700	109.743	109.368	109.059	109.505	109.042	109.298	109.334	109.54	109.15	109.635	109.19	109.45	109.527	109.672	109.49	109.758	109.519	109.597	109.36	108.957	109.406
7100	108.372	108.072	107.903	108.223	107.844	107.948	108.183	108.092	107.984	108.334	107.963	108.052	108.18	108.412	108.194	108.339	108.213	108.296	108.088	107.632	108.012
7500	107.821	107.322	107.362	107.407	107.111	107.299	107.45	107.616	107.257	107.525	107.187	107.406	107.373	107.664	107.418	107.674	107.496	107.653	107.432	106.857	107.357
8000	107.653	107.251	107.19	107.365	106.96	107.136	107.255	107.478	107.149	107.368	107.009	107.39	107.253	107.494	107.301	107.422	107.343	107.402	107.268	106.867	107.187
8500	108.525	107.979	107.882	108.41	107.792	108.087	108.17	108.153	108.003	108.392	108.023	108.125	108.063	108.378	108.24	108.274	108.117	108.066	107.955	107.916	108.123
9000	110.625	110.061	110.156	110.907	109.856	110.476	110.288	110.265	110.167	110.622	110.384	110.256	110.09	110.482	110.404	110.39	110.356	110.036	110.019	110.116	110.425
9500	114.407	113.591	113.947	114.839	113.429	114.3	113.978	113.984	113.886	114.414	114.217	114.04	113.7	114.153	114.003	114.081	114.21	113.627	113.729	113.979	114.081
