## 그래프
WF																													THD																													R&B

## SET GRAPH(전체)
〔bg=#FFF2CC,b〕WF																													〔bg=#FFF2CC,b〕THD																													〔bg=#FFF2CC,b〕R&B

## SET MASK
〔bg=#E2EFDA〕WF Mask							〔bg=#E2EFDA〕THD Mask			〔bg=#E2EFDA〕RnB Crest Mask			〔bg=#E2EFDA〕FFT MASK										〔bg=#E2EFDA〕MIC MASK				〔bg=#E2EFDA〕LOOP MASK		
	REF	UP	LOW	UP	LOW			Mask			Mask			Mask			REF	UP	LOW	+	-			UP	LOW			UP	LOW
19.2307692307692	129.764673820521	133.764673820521	125.764673820521	4	-4		100	10		30	20		80	85		7998.39743589744	92.7776232087475		87.7776232087475	5	-5		100	-33	-39.5		100	-33	-41
22.4358974358974	130.784691118334	134.784691118334	126.784691118334	4	-4		700	10		100	20		100	72		8013.10123495891	92.7999709355378		87.7999709355378	5	-5		200	-33	-39.5		3000	-33	-41
25.6410256410256	131.537312019851	135.537312019851	127.537312019851	4	-4		1,500	20		1,000	11		200	67		8027.83206464853	92.8233248326287		87.8233248326287	5	-5		300	-33	-41		4000	-33	-41
28.8461538461539	132.098300898872	136.098300898872	128.098300898872	4	-4		10,000	20		3,000	9		300	67		8042.58997465786	92.8476602846353		87.8476602846353	5	-5		3000	-33	-41		9500	-33	-41
32.0512820512821	132.51001397384	136.51001397384	128.51001397384	4	-4								400	50		8057.37501476982	92.8729607930025		87.8729607930025	5	-5		4000	-33	-42		10000		-41
35.2564102564103	132.818629103432	136.818629103432	128.818629103432	4	-4								900	50		8072.18723485886	92.8992197293042		87.8992197293042	5	-5		10000	-33	-42				
38.4615384615385	133.070734432976	137.070734432976	129.070734432976	4	-4								2,000	31		8087.02668489109	92.9264453724094		87.9264453724094	5	-5		20000	-33					
41.6666666666667	133.300631949351	136.300631949351	130.300631949351	3	-3								3,000	31		8101.8934149245	92.9546699617868		87.9546699617868	5	-5								
44.8717948717949	133.525105880236	136.525105880236	130.525105880236	3	-3								4,000	31		8116.78747510909	92.983963183914		87.983963183914	5	-5								
48.0769230769231	133.740355477148	136.740355477148	130.740355477148	3	-3								6,000	18		8131.70891568705	93.014449486433		88.014449486433	5	-5								
51.2820512820513	133.926828793411	136.926828793411	130.926828793411	3	-3											8146.65778699295	93.0463262549609		88.0463262549609	5	-5								
54.4871794871795	134.065953093754	137.065953093754	131.065953093754	3	-3											8161.63413945387	93.0798761360133		88.0798761360133	5	-5								
57.6923076923077	134.154079547425	137.154079547425	131.154079547425	3	-3											8176.6380235896	93.1154631645104		88.1154631645104	5	-5								
60.8974358974359	134.20284150422	137.20284150422	131.20284150422	3	-3											8191.66949001282	93.1535028446048		88.1535028446048	5	-5								
64.1025641025641	134.231319355738	137.231319355738	131.231319355738	3	-3											8206.72858942923	93.1944055160488		88.1944055160488	5	-5								
67.3076923076923	134.256317075245	137.256317075245	131.256317075245	3	-3											8221.81537263775	93.2385086550372		88.2385086550372	5	-5								
70.5128205128205	134.284116284841	137.284116284841	131.284116284841	3	-3											8236.9298905307	93.286025039352		88.286025039352	5	-5								
73.7179487179487	134.309365866282	137.309365866282	131.309365866282	3	-3											8252.07219409394	93.3370272571663		88.3370272571663	5	-5								
76.9230769230769	134.322182501049	137.322182501049	131.322182501049	3	-3											8267.24233440707	93.3914685790733		88.3914685790733	5	-5								
80.1282051282052	134.31669541472	136.81669541472	131.81669541472	2.5	-2.5											8282.44036264358	93.4492234267185		88.4492234267185	5	-5								
83.3333333333334	134.294877262305	136.794877262305	131.794877262305	2.5	-2.5											8297.66633007105	93.5101285216689		88.5101285216689	5	-5								
84.1181107331997	134.286495957825	136.786495957825	131.786495957825	2.5	-2.5											8312.92028805129	93.5740138445971		88.5740138445971	5	-5								
85.2973755703375	134.278580351117	136.778580351117	131.778580351117	2.5	-2.5											8328.20228804056	93.640721249243		88.640721249243	5	-5								
86.4931727040757	134.264947451409	136.764947451409	131.764947451409	2.5	-2.5											8343.51238158968	93.7101132641482		88.7101132641482	5	-5								
87.7057339032437	134.251324721338	136.751324721338	131.751324721338	2.5	-2.5											8358.85062034426	93.782075675514		88.782075675514	5	-5								
88.9352941858743	134.243227216129	136.743227216129	131.743227216129	2.5	-2.5											8374.21705604484	93.8565168038401		88.8565168038401	5	-5								
90.182091864754	134.226482020079	136.726482020079	131.726482020079	2.5	-2.5											8389.61174052708	93.9333653003814		88.9333653003814	5	-5								
91.4463685936138	134.217131228238	136.717131228238	131.717131228238	2.5	-2.5											8405.03472572195	94.0125673956586		89.0125673956586	5	-5								
92.7283694139654	134.204746870684	136.704746870684	131.704746870684	2.5	-2.5											8420.48606365585	94.0940840165936		89.0940840165936	5	-5								
94.0283428025956	134.188909607259	136.688909607259	131.688909607259	2.5	-2.5											8435.96580645085	94.1778880072554		89.1778880072554	5	-5								
95.3465407197259	134.180802574569	136.680802574569	131.680802574569	2.5	-2.5											8451.47400632484	94.2639616565514		89.2639616565514	5	-5								
96.683218657847	134.159672743095	136.659672743095	131.659672743095	2.5	-2.5											8467.01071559169	94.3522946732807		89.3522946732807	5	-5								
98.0386356912387	134.149066659255	136.649066659255	131.649066659255	2.5	-2.5											8482.57598666145	94.4428826268524		89.4428826268524	5	-5								
99.4130545261829	134.127415134953	136.627415134953	131.627415134953	2.5	-2.5											8498.1698720405	94.5357257881601		89.5357257881601	5	-5								
100.806741551882	134.107692495672	136.107692495672	132.107692495672	2	-2											8513.79242433178	94.630828300926		89.630828300926	5	-5								
102.21996689209	134.088903227075	136.088903227075	132.088903227075	2	-2											8529.4436962349	94.7281976233537		89.7281976233537	5	-5								
103.653004457467	134.057882543698	136.057882543698	132.057882543698	2	-2											8545.12374054637	94.8278441641199		89.8278441641199	5	-5								
105.10613199867	134.041157304646	136.041157304646	132.041157304646	2	-2											8560.83261015973	94.9297810335201		89.9297810335201	5	-5								
106.579631160185	134.003023345024	136.003023345024	132.003023345024	2	-2											8576.5703580658	95.0340238566954		90.0340238566954	5	-5								
108.073787534916	133.985597062809	135.985597062809	131.985597062809	2	-2											8592.33703735277	95.1405906188062		90.1405906188062	5	-5								
109.588890719538	133.946274581676	135.946274581676	131.946274581676	2	-2											8608.13270120647	95.2495015238744		90.2495015238744	5	-5								
111.125234370626	133.926631994059	135.926631994059	131.926631994059	2	-2											8623.95740291046	95.3607788683253		90.3607788683253	5	-5								
112.683116261573	133.88872345865	135.88872345865	131.88872345865	2	-2											8639.81119584627	95.474446947904		90.474446947904	5	-5								
114.262838340304	133.866784792341	135.866784792341	131.866784792341	2	-2											8655.69413349358	95.590532015838		90.590532015838	5	-5								
115.864706787798	133.829151815561	135.829151815561	131.829151815561	2	-2											8671.60626943037	95.709062298638		90.709062298638	5	-5								
117.489032077431	133.804732773458	135.804732773458	131.804732773458	2	-2											8687.54765733311	95.8300680616952		90.8300680616952	5	-5								
119.136129035157	133.764745809309	135.764745809309	131.764745809309	2	-2											8703.51835097694	95.9535817020831		90.9535817020831	5	-5								
120.80631690052	133.7369139199	135.7369139199	131.7369139199	2	-2											8719.51840423589	96.0796378419283		91.0796378419283	5	-5								
122.499919388536	133.692971000113	135.692971000113	131.692971000113	2	-2											8735.547871083	96.2082734080142		91.2082734080142	5	-5								
124.217264752429	133.660592468224	135.660592468224	131.660592468224	2	-2											8751.60680559053	96.3395276935635		91.3395276935635	5	-5								
125.958685847258	133.613730308978	135.613730308978	131.613730308978	2	-2											8767.69526193015	96.4734423815501		91.4734423815501	5	-5								
127.724520194428	133.576130005865	135.576130005865	131.576130005865	2	-2											8783.81329437313	96.6100614810232		91.6100614810232	5	-5								
129.515110047109	133.529342604054	135.529342604054	131.529342604054	2	-2											8799.96095729049	96.74943114223		91.74943114223	5	-5								
131.330802456572	133.486896613219	135.486896613219	131.486896613219	2	-2											8816.13830515321	96.8915993767015		91.8915993767015	5	-5								
