## 1
RESULT CHECK DIMENSION COIL BEFORE AND AFTER CHECK HEARING 												
〔bg=#8DB4E2,b〕Date	〔bg=#8DB4E2,b〕Type check 				〔bg=#8DB4E2,b〕1	〔bg=#8DB4E2,b〕2	〔bg=#8DB4E2,b〕3	〔bg=#8DB4E2,b〕4	〔bg=#8DB4E2,b〕5			
11/Feb	Check  hearing ( +1V )	Picture  coil frame		Before  hearing 								
				After check hearing 								
		Check inner dimension 	A 	Before	7.847	7.8381	7.8029	7.7788	7.8719			
				After	7.8989	7.8436	7.8563	7.8146	7.8994			
			〔bg=#FFFF00〕Gap		〔bg=#FFFF00〕0.0518999999999998	〔bg=#FFFF00〕0.0055000000000005	〔bg=#FFFF00〕0.0533999999999999	〔bg=#FFFF00〕0.0358	〔bg=#FFFF00〕0.0274999999999999	〔bg=#FFFF00〕0.0533999999999999	〔bg=#FFFF00〕0.0055000000000005	0.03482
			B	Before	12.8019	12.7534	12.7619	12.7608	12.793			
				After	12.7946	12.79236	12.8034	12.7837	12.8049			
			〔bg=#FFFF00〕Gap		〔bg=#FFFF00〕-0.00729999999999897	〔bg=#FFFF00〕0.0389600000000012	〔bg=#FFFF00〕0.0414999999999992	〔bg=#FFFF00〕0.0228999999999999	〔bg=#FFFF00〕0.0119000000000007	〔bg=#FFFF00〕0.0414999999999992	〔bg=#FFFF00〕-0.00729999999999897	0.0215920000000004
	Check hearing ( +0V )	Picture  coil frame		Before  hearing 								
				After check hearing 								
		Check inner dimension 	A 	Before	7.8419	7.818	7.77991	7.81127	7.8371			
				After	7.7975	7.8716	7.7881	7.8066	7.861			
			〔bg=#FFFF00〕Gap		〔bg=#FFFF00〕-0.0443999999999996	〔bg=#FFFF00〕0.0536000000000003	〔bg=#FFFF00〕0.00818999999999992	〔bg=#FFFF00〕-0.00466999999999995	〔bg=#FFFF00〕0.0238999999999994	〔bg=#FFFF00〕0.0536000000000003	〔bg=#FFFF00〕-0.0443999999999996	0.00732400000000002
			B	Before	12.7551	12.7571	12.7459	12.7786	12.7207			
				After	12.7851	12.7906	12.7916	12.8006	12.7858			
			〔bg=#FFFF00〕Gap		〔bg=#FFFF00〕0.0299999999999994	〔bg=#FFFF00〕0.0335000000000001	〔bg=#FFFF00〕0.0457000000000001	〔bg=#FFFF00〕0.0219999999999985	〔bg=#FFFF00〕0.0650999999999993	〔bg=#FFFF00〕0.0650999999999993	〔bg=#FFFF00〕0.0219999999999985	0.0392599999999994

## 1 (2)
RESULT CHECK DIMENSION COIL BEFORE AND AFTER CHECK HEARING 									
〔bg=#8DB4E2,b〕Date	〔bg=#8DB4E2,b〕Type check 				〔bg=#8DB4E2,b〕1	〔bg=#8DB4E2,b〕2	〔bg=#8DB4E2,b〕3	〔bg=#8DB4E2,b〕4	〔bg=#8DB4E2,b〕5
11/Feb	Check  hearing ( +1V )	Check inner dimension 	A 	Before	7.847	7.8381	7.8029	7.7788	7.8719
				After	7.8989	7.8436	7.8563	7.8146	7.8994
			〔bg=#FFFF00〕Gap		〔bg=#FFFF00〕-0.0518999999999998	〔bg=#FFFF00〕-0.0055000000000005	〔bg=#FFFF00〕-0.0533999999999999	〔bg=#FFFF00〕-0.0358	〔bg=#FFFF00〕-0.0274999999999999
			B	Before	12.8019	12.7534	12.7619	12.7608	12.793
				After	12.7946	12.79236	12.8034	12.7837	12.8049
			〔bg=#FFFF00〕Gap		〔bg=#FFFF00〕-0.00729999999999897	〔bg=#FFFF00〕0.0389600000000012	〔bg=#FFFF00〕0.0414999999999992	〔bg=#FFFF00〕0.0228999999999999	〔bg=#FFFF00〕0.0119000000000007
	Check hearing ( +0V )	Check inner dimension 	A 	Before	7.8419	7.818	7.77991	7.81127	7.8371
				After	7.7975	7.8716	7.7881	7.8066	7.861
			〔bg=#FFFF00〕Gap		〔bg=#FFFF00〕0.0443999999999996	〔bg=#FFFF00〕-0.0536000000000003	〔bg=#FFFF00〕-0.00818999999999992	〔bg=#FFFF00〕0.00466999999999995	〔bg=#FFFF00〕-0.0238999999999994
			B	Before	12.7551	12.7571	12.7459	12.7786	12.7207
				After	12.7851	12.7906	12.7916	12.8006	12.7858
			〔bg=#FFFF00〕Gap		〔bg=#FFFF00〕-0.0299999999999994	〔bg=#FFFF00〕-0.0335000000000001	〔bg=#FFFF00〕-0.0457000000000001	〔bg=#FFFF00〕-0.0219999999999985	〔bg=#FFFF00〕-0.0650999999999993

## AI Gap Check
			〔b〕S1	〔b〕S2	〔b〕S3	〔b〕S4	〔b〕S5	〔b〕S6		〔b〕L1	〔b〕L2	〔b〕L3	〔b〕L4	〔b〕L5	〔b〕L6																S1	S2	S3	S4	S5	S6		L1	L2	L3	L4	L5	L6
+1 V	#11	Gap	0.0109	0.0077	0.0303	-0.0016	-0.0002	-0.0011		0.0024	-0.0091	-0.0130	-0.0034	-0.0077	-0.0028														#6	After	0.0212	0.0996	0.0895	0.1496	0.0967	0.1191		0.1885	0.1497	0.1518	0.1169	0.1226	0.1232
	#12	Gap	0.0100	0.0007	0.0018	-0.0098	0.0427	-0.0036		-0.0098	-0.0122	-0.0024	0.0146	-0.0091	-0.0218														#6	Gap	0.0023	0.0016	-0.0044	0.0050	0.0036	0.0015		-0.0074	-0.0025	-0.0009	-0.0037	-0.0045	-0.0081
	#13	Gap	0.0181	0.0099	0.0198	-0.0015	-0.0019	-0.0051		0.0120	-0.0080	-0.0193	0.0406	-0.0207	0.0022														#7	Before	0.1428	0.1502	0.1667	0.1115	0.0286	0.1195		0.1941	0.1277	0.1235	0.1281	0.1442	0.1594
	#14	Gap	-0.0046	0.0018	-0.0029	0.0066	0.0028	0.0020		0.0214	-0.0138	-0.0279	0.0218	-0.0038	-0.0304														#7	After	0.1488	0.1614	0.1749	0.1091	0.0302	0.1227		0.1856	0.1352	0.1299	0.1085	0.1357	0.1623
	#15	Gap	0.0060	0.0075	0.0104	-0.0273	0.0036	0.0263		0.0153	0.0023	0.0049	-0.0120	-0.0152	0.0150														#7	Gap	0.0060	0.0112	0.0082	-0.0024	0.0016	0.0032		-0.0085	0.0075	0.0065	-0.0195	-0.0085	0.0029
	#16	Gap	0.0272	0.0133	-0.0142	0.0163	0.0167	0.0082		0.0105	0.0000	0.0035	-0.0026	-0.0105	-0.0093														#8	Before	0.1323	0.1146	0.1156	0.1458	0.0959	0.0874		0.1044	0.0848	0.1009	0.1725	0.1755	0.1784
	#17	Gap	0.0060	0.0046	0.0047	0.0043	-0.0010	-0.0008		0.0189	0.0013	-0.0160	-0.0234	-0.0099	0.0133														#8	After	0.1374	0.1174	0.1174	0.1423	0.0906	0.0845		0.1179	0.0896	0.0906	0.1706	0.1726	0.1747
	#18	Gap	-0.0004	0.0073	0.0138	0.0076	0.0065	0.0061		-0.0219	-0.0308	-0.0080	-0.0092	-0.0213	-0.0068														#8	Gap	0.0051	0.0029	0.0018	-0.0034	-0.0053	-0.0028		0.0135	0.0048	-0.0103	-0.0019	-0.0029	-0.0037
	#19	Gap	0.0163	-0.0044	0.0133	-0.0003	0.0051	-0.0069		0.0251	-0.0107	-0.0128	-0.0144	0.0125	-0.0035														#9	Before	0.1352	0.1409	0.1719	0.1063	0.0231	0.1208		0.1903	0.1431	0.1520	0.1683	0.1416	0.1253
	#20	Gap	-0.0002	0.0058	0.0218	-0.0075	-0.0042	-0.0024		-0.0180	-0.0231	-0.0102	0.0012	-0.0150	-0.0073														#9	After	0.1367	0.1523	0.1738	0.1035	0.0238	0.1027		0.1699	0.1377	0.1565	0.1378	0.1384	0.1472
〔b〕GAP		〔b〕MAX	〔b〕0.0272	〔b〕0.0133	〔b〕0.0303	〔b〕0.0163	〔b〕0.0427	〔b〕0.0263		〔b〕0.0251	〔b〕0.0023	〔b〕0.0049	〔b〕0.0406	〔b〕0.0125	〔b〕0.0150														#9	Gap	0.0016	0.0114	0.0019	-0.0027	0.0007	-0.0181		-0.0204	-0.0054	0.0044	-0.0305	-0.0032	0.0219
		〔b〕MIN	〔b〕-0.0046	〔b〕-0.0044	〔b〕-0.0142	〔b〕-0.0273	〔b〕-0.0042	〔b〕-0.0069		〔b〕-0.0219	〔b〕-0.0308	〔b〕-0.0279	〔b〕-0.0234	〔b〕-0.0213	〔b〕-0.0304														#10	Before	0.2240	0.1556	0.1895	0.1054	0.0562	0.0813		0.1247	0.0741	0.0632	0.1661	0.1541	0.1912
		〔b〕AVG	〔b〕0.0089	〔b〕0.0054	〔b〕0.0099	〔b〕-0.0013	〔b〕0.0070	〔b〕0.0023		〔b〕0.0056	〔b〕-0.0104	〔b〕-0.0101	〔b〕0.0013	〔b〕-0.0101	〔b〕-0.0051														#10	After	0.2306	0.1640	0.1977	0.0975	0.0434	0.0762		0.1133	0.0745	0.0790	0.1674	0.1504	0.1862
																													#10	Gap	0.0067	0.0084	0.0082	-0.0079	-0.0128	-0.0051		-0.0114	0.0004	0.0158	0.0013	-0.0037	-0.0050
																													#11	Before	0.1353	0.1601	0.1749	0.1251	0.0414	0.1598		0.2082	0.1663	0.1724	0.1937	0.1374	0.1467
																													#11	After	0.1461	0.1678	0.2052	0.1234	0.0412	0.1588		0.2106	0.1572	0.1594	0.1904	0.1297	0.1439
																													#11	Gap	0.0109	0.0077	0.0303	-0.0016	-0.0002	-0.0011		0.0024	-0.0091	-0.0130	-0.0034	-0.0077	-0.0028
