## Summury
〔bg=#C6E0B4,b〕Date	〔bg=#C6E0B4,b〕Line	〔bg=#C6E0B4,b〕VP mold	〔bg=#C6E0B4,b〕IR	〔bg=#C6E0B4,b〕Lot date	〔bg=#C6E0B4,b〕Sub 1-Laser cutting VP				〔bg=#C6E0B4,b〕Vision VP+CD 		〔bg=#C6E0B4,b〕Total NG sub 1	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate sub 1	〔bg=#C6E0B4,b〕Input	〔bg=#C6E0B4,b〕Air leak	〔bg=#C6E0B4,b〕Sigma			〔bg=#C6E0B4,b〕Hearing		〔bg=#C6E0B4,b〕Total NG function	〔bg=#C6E0B4,fg=#FF0000,b〕NG rate function	
					〔b〕Input	〔b〕VP/CD separate	〔bg=#FFFF00,b〕VP bending check by VP ass'y guige	〔bg=#FFFF00,fg=#FF0000,b〕Bending rate	〔b〕VP+CD separate	〔fg=#FF0000,b〕VP+CD separate  Rate					〔b〕SPL	〔b〕THD	〔b〕SPL+THD	〔b〕Noise	〔b〕Touch			
7/17/2024	E2-3B	〔bg=#F4B084〕VP #2 		〔bg=#F4B084〕12/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕439	〔bg=#F4B084,fg=#FF0000〕73.2%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕439	〔bg=#F4B084,fg=#FF0000〕73.2%	161	0	0	0	0	8	0	8	〔fg=#FF0000〕5.0%	
		VP #3 		12/7	600	0	46	〔fg=#FF0000〕7.7%		〔fg=#FF0000〕0.0%	46	〔fg=#FF0000〕7.7%	544	0	0	0	0	8	6	14	〔fg=#FF0000〕2.6%	
		〔bg=#F4B084〕VP #4		〔bg=#F4B084〕12/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕208	〔bg=#F4B084,fg=#FF0000〕34.7%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕208	〔bg=#F4B084,fg=#FF0000〕34.7%	390	1	0	0	0	20	21	42	〔fg=#FF0000〕10.8%	
		〔bg=#F4B084〕VP #6		〔bg=#F4B084〕12/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕110	〔bg=#F4B084,fg=#FF0000〕18.3%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕111	〔bg=#F4B084,fg=#FF0000〕18.5%	486	2	0	1	0	19	13	35	〔fg=#FF0000〕7.2%	
		〔bg=#F4B084〕VP #7		〔bg=#F4B084〕12/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕180	〔bg=#F4B084,fg=#FF0000〕30.0%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕180	〔bg=#F4B084,fg=#FF0000〕30.0%	419	2	0	0	0	20	14	36	〔fg=#FF0000〕8.6%	
		〔bg=#F4B084〕VP #8		〔bg=#F4B084〕12/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕294	〔bg=#F4B084,fg=#FF0000〕49.0%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕294	〔bg=#F4B084,fg=#FF0000〕49.0%	298	0	0	0	0	14	8	22	〔fg=#FF0000〕7.4%	
		〔bg=#F4B084〕VP #9		〔bg=#F4B084〕12/7	〔bg=#F4B084〕600	〔bg=#F4B084〕0	〔bg=#F4B084〕89	〔bg=#F4B084,fg=#FF0000〕14.8%		〔bg=#F4B084,fg=#FF0000〕0.0%	〔bg=#F4B084〕91	〔bg=#F4B084,fg=#FF0000〕15.2%	504	2	0	1	0	20	21	44	〔fg=#FF0000〕8.7%	
		VP #10		12/7	600	0	22	〔fg=#FF0000〕3.7%		〔fg=#FF0000〕0.0%	23	〔fg=#FF0000〕3.8%	578	1	0	0	1	18	10	30	〔fg=#FF0000〕5.2%	
7/20/2024	E2-3B	VP #2 ( IR240717058)		17/7	600	0	226	〔fg=#FF0000〕37.7%		〔fg=#FF0000〕0.0%	226	〔fg=#FF0000〕37.7%								0	〔fg=#FF0000〕#DIV/0!	
		VP #3 ( IR240717058)		17/7	600	0	175	〔fg=#FF0000〕29.2%		〔fg=#FF0000〕0.0%	175	〔fg=#FF0000〕29.2%	424	2	0	0	1	13	10	26	〔fg=#FF0000〕6.1%	
		VP #4 ( IR240717058)		17/7	600	0	387	〔fg=#FF0000〕64.5%		〔fg=#FF0000〕0.0%	387	〔fg=#FF0000〕64.5%	201	0	0	0	0	15	18	33	〔fg=#FF0000〕16.4%	
		VP #5 ( IR240717058)		17/7	600	0	187	〔fg=#FF0000〕31.2%		〔fg=#FF0000〕0.0%	200	〔fg=#FF0000〕33.3%	395	0	0	0	0	15	12	27	〔fg=#FF0000〕6.8%	
		VP #6 ( IR240717058)		17/7	600	0	246	〔fg=#FF0000〕41.0%		〔fg=#FF0000〕0.0%	246	〔fg=#FF0000〕41.0%	360	1	0	0	1	14	10	26	〔fg=#FF0000〕7.2%	
		VP #7 ( IR240717058)		17/7	600	0	188	〔fg=#FF0000〕31.3%		〔fg=#FF0000〕0.0%	188	〔fg=#FF0000〕31.3%	413	0	0	0	0	28	20	48	〔fg=#FF0000〕11.6%	
		VP #8 ( IR240717058)		17/7	600	0	399	〔fg=#FF0000〕66.5%		〔fg=#FF0000〕0.0%	399	〔fg=#FF0000〕66.5%	199	0	0	0	0	7	3	10	〔fg=#FF0000〕5.0%	
		VP #9 ( IR240717058)		17/7	600	0	8	〔fg=#FF0000〕1.3%		〔fg=#FF0000〕0.0%	8	〔fg=#FF0000〕1.3%	579	0	0	0	0	12	9	21	〔fg=#FF0000〕3.6%	
7/22/2024	E2-3B	VP #3 ( Lot hàng bù)			600	0	76	〔fg=#FF0000〕12.7%		〔fg=#FF0000〕0.0%	76	〔fg=#FF0000〕12.7%	506	0	0	1	0	18	0	19	〔fg=#FF0000〕3.8%	
		VP #5 ( Lot hàng bù)			600	0	87	〔fg=#FF0000〕14.5%		〔fg=#FF0000〕0.0%	87	〔fg=#FF0000〕14.5%	472	2	0	0	0	10	8	20	〔fg=#FF0000〕4.2%	
		VP #9 ( Lot hàng bù)			600	0	36	〔fg=#FF0000〕6.0%		〔fg=#FF0000〕0.0%	39	〔fg=#FF0000〕6.5%	358	0	0	1	0	12	0	13	〔fg=#FF0000〕3.6%	
7/23/2024	E2-3B	VP #3 ( IR240717048)		19/7	600	0	204	〔fg=#FF0000〕34.0%		〔fg=#FF0000〕0.0%	206	〔fg=#FF0000〕34.3%	392	1	0	1	0	10	5	17	〔fg=#FF0000〕4.3%	
		VP #4 ( IR240717048)		19/7	600	0	401	〔fg=#FF0000〕66.8%		〔fg=#FF0000〕0.0%	401	〔fg=#FF0000〕66.8%	197	0	0	0	0	16	0	16	〔fg=#FF0000〕8.1%	
		VP #5 ( IR240717048)		19/7	600	0	189	〔fg=#FF0000〕31.5%		〔fg=#FF0000〕0.0%	189	〔fg=#FF0000〕31.5%	407	0	0	0	0	8	6	14	〔fg=#FF0000〕3.4%	
		VP #6 ( IR240717048)		19/7	600	0	75	〔fg=#FF0000〕12.5%		〔fg=#FF0000〕0.0%	75	〔fg=#FF0000〕12.5%	521	0	0	0	0	25	0	25	〔fg=#FF0000〕4.8%	
		VP #9 ( IR240717048)		19/7	600	0	75	〔fg=#FF0000〕12.5%		〔fg=#FF0000〕0.0%	77	〔fg=#FF0000〕12.8%	522	0	0	1	0	19	0	20	〔fg=#FF0000〕3.8%	
		VP #10 ( IR240717048)		19/7	600	0	64	〔fg=#FF0000〕10.7%		〔fg=#FF0000〕0.0%	64	〔fg=#FF0000〕10.7%	526	0	0	0	0	16	2	18	〔fg=#FF0000〕3.4%	
				17/7	1200	0	107	〔fg=#FF0000〕8.9%		〔fg=#FF0000〕0.0%	108	〔fg=#FF0000〕9.0%	1180	0	0	0	0	55	5	60	〔fg=#FF0000〕5.1%	
		VP #4 ( Mold press 90kgf, 150⁰C, 1hr)		17/7	3600	0	1630	〔fg=#FF0000〕45.3%		〔fg=#FF0000〕0.0%	1630	〔fg=#FF0000〕45.3%	2254	2	0	0	0	107	56	165	〔fg=#FF0000〕7.3%	
		VP #5 ( Mold press 90kgf, 150⁰C, 1hr)		17/7	1200	0	373	〔fg=#FF0000〕31.1%		〔fg=#FF0000〕0.0%	379	〔fg=#FF0000〕31.6%	1069	1	0	0	0	33	4	38	〔fg=#FF0000〕3.6%	
		VP #6 ( Mold press 90kgf, 150⁰C, 1hr)		17/7	1200	0	134	〔fg=#FF0000〕11.2%		〔fg=#FF0000〕0.0%	134	〔fg=#FF0000〕11.2%	1063	0	0	0	0	43	0	43	〔fg=#FF0000〕4.0%	
7/26/2024	E2-3B	VP #2 	IR240724051	24/7	600	0	151	〔fg=#FF0000〕25.2%		〔fg=#FF0000〕0.0%	151	〔fg=#FF0000〕25.2%	450	0	0	0	0	21	17	38	〔fg=#FF0000〕8.4%	
		VP #3 	IR240724051	24/7	600	0	65	〔fg=#FF0000〕10.8%		〔fg=#FF0000〕0.0%	65	〔fg=#FF0000〕10.8%	508	0	0	0	0	26	9	35	〔fg=#FF0000〕6.9%	
		VP #4 	IR240724051	24/7	600	0	437	〔fg=#FF0000〕72.8%		〔fg=#FF0000〕0.0%	446	〔fg=#FF0000〕74.3%	151	0	0	0	0	10	5	15	〔fg=#FF0000〕9.9%	
		VP #5 	IR240724051	24/7	600	0	144	〔fg=#FF0000〕24.0%		〔fg=#FF0000〕0.0%	145	〔fg=#FF0000〕24.2%	454	2	0	0	0	48	0	50	〔fg=#FF0000〕11.0%	
		VP #6 	IR240724051	24/7	600	0	21	〔fg=#FF0000〕3.5%		〔fg=#FF0000〕0.0%	21	〔fg=#FF0000〕3.5%	574	0	0	1	0	31	23	55	〔fg=#FF0000〕9.6%	
		VP #7 	IR240724051	24/7	600	0	15	〔fg=#FF0000〕2.5%		〔fg=#FF0000〕0.0%	16	〔fg=#FF0000〕2.7%	586	1	0	1	0	20	16	38	〔fg=#FF0000〕6.5%	
		VP #8 	IR240724051	24/7	600	0	247	〔fg=#FF0000〕41.2%		〔fg=#FF0000〕0.0%	254	〔fg=#FF0000〕42.3%	343	1	0	0	1	34	0	36	〔fg=#FF0000〕10.5%	
		VP #10 	IR240724051	24/7	600	0	34	〔fg=#FF0000〕5.7%		〔fg=#FF0000〕0.0%	56	〔fg=#FF0000〕9.3%	554	1	0	0	0	49	16	66	〔fg=#FF0000〕11.9%	
7/31/2024	E2-3B	VP #2	IR240726017	26/7	600	0	75	〔fg=#FF0000〕12.5%		〔fg=#FF0000〕0.0%	75	〔fg=#FF0000〕12.5%	525	3	0	0	0	13	10	26	〔fg=#FF0000〕5.0%	
		VP #3 	IR240726017	26/7	600	0	56	〔fg=#FF0000〕9.3%		〔fg=#FF0000〕0.0%	56	〔fg=#FF0000〕9.3%	516	0	0	0	0	14	3	17	〔fg=#FF0000〕3.3%	
		VP #4 	IR240726017	26/7	520	0	126	〔fg=#FF0000〕24.2%		〔fg=#FF0000〕0.0%	126	〔fg=#FF0000〕24.2%	460	3	0	0	0	10	6	19	〔fg=#FF0000〕4.1%	
		VP #5	IR240726017	26/7	600	0	93	〔fg=#FF0000〕15.5%		〔fg=#FF0000〕0.0%	105	〔fg=#FF0000〕17.5%	495	0	0	0	1	15	7	23	〔fg=#FF0000〕4.6%	
		VP #6 	IR240726017	26/7	600	0	24	〔fg=#FF0000〕4.0%		〔fg=#FF0000〕0.0%	24	〔fg=#FF0000〕4.0%	574	1	0	0	0	15	9	25	〔fg=#FF0000〕4.4%	
		VP #7 	IR240726017	26/7	600	0	33	〔fg=#FF0000〕5.5%		〔fg=#FF0000〕0.0%	33	〔fg=#FF0000〕5.5%	564	0	0	0	0	9	8	17	〔fg=#FF0000〕3.0%	
		VP #8 	IR240726017	26/7	600	0	254	〔fg=#FF0000〕42.3%		〔fg=#FF0000〕0.0%	261	〔fg=#FF0000〕43.5%	346	1	1	0	0	10	0	12	〔fg=#FF0000〕3.5%	
		VP #9 	IR240726017	26/7	600	0	200	〔fg=#FF0000〕33.3%		〔fg=#FF0000〕0.0%	222	〔fg=#FF0000〕37.0%	399	0	0	0	0	16	4	20	〔fg=#FF0000〕5.0%	
8/2/2024	E2-3A	VP #2 	IR240731011	31/7	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	4	〔fg=#FF0000〕0.7%	592	0	0	0	0	36	0	36	〔fg=#FF0000〕6.1%	
		VP #3	IR240731011	31/7	600	0	20	〔fg=#FF0000〕3.3%		〔fg=#FF0000〕0.0%	20	〔fg=#FF0000〕3.3%	574	0	1	0	0	26	0	27	〔fg=#FF0000〕4.7%	
		VP #4 	IR240731011	31/7	600	0	22	〔fg=#FF0000〕3.7%		〔fg=#FF0000〕0.0%	22	〔fg=#FF0000〕3.7%	573	0	0	2	0	28	0	30	〔fg=#FF0000〕5.2%	
		VP #6 	IR240731011	31/7	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	569	0	0	1	0	30	0	31	〔fg=#FF0000〕5.4%	
		VP #7	IR240731011	31/7	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	588	1	0	0	2	33	0	36	〔fg=#FF0000〕6.1%	
		VP #9 	IR240731011	31/7	600	0	20	〔fg=#FF0000〕3.3%		〔fg=#FF0000〕0.0%	20	〔fg=#FF0000〕3.3%	571	0	0	0	1	42	0	43	〔fg=#FF0000〕7.5%	
		VP #10 	IR240731011	31/7	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	579	1	0	0	0	30	7	38	〔fg=#FF0000〕6.6%	
8/6/2024	E2-3A	VP #3	 IR240802036	2/8	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	355	0	1	1	0	9	2	13	〔fg=#FF0000〕3.7%	
		VP #4	 IR240802036	2/8	599	0	5	〔fg=#FF0000〕0.8%		〔fg=#FF0000〕0.0%	5	〔fg=#FF0000〕0.8%	589	0	2	0	1	16	0	19	〔fg=#FF0000〕3.2%	
		VP #5	 IR240802036	2/8	598	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	592	0	0	0	2	26	0	28	〔fg=#FF0000〕4.7%	
		VP #6	 IR240802036	2/8	599	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	1	〔fg=#FF0000〕0.2%	597	0	0	1	0	30	2	33	〔fg=#FF0000〕5.5%	
		VP #7	 IR240802036	2/8	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	571	0	0	1	1	15	4	21	〔fg=#FF0000〕3.7%	
		VP #8	 IR240802036	2/8	600	0	49	〔fg=#FF0000〕8.2%		〔fg=#FF0000〕0.0%	49	〔fg=#FF0000〕8.2%	542	1	1	0	0	30	3	35	〔fg=#FF0000〕6.5%	
		VP #9	 IR240802036	2/8	600	0	2	〔fg=#FF0000〕0.3%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	595	0	0	1	0	30	0	31	〔fg=#FF0000〕5.2%	
8/9/2024	E2-3A	VP #2	 IR240807027	7/8	600	0	17	〔fg=#FF0000〕2.8%		〔fg=#FF0000〕0.0%	17	〔fg=#FF0000〕2.8%	567	0	0	0	1	17	0	18	〔fg=#FF0000〕3.2%	
		VP #3	 IR240807027	7/8	599	0	76	〔fg=#FF0000〕12.7%		〔fg=#FF0000〕0.0%	76	〔fg=#FF0000〕12.7%	516	0	0	0	0	18	0	18	〔fg=#FF0000〕3.5%	
		VP #4	 IR240807027	7/8	599	0	110	〔fg=#FF0000〕18.4%		〔fg=#FF0000〕0.0%	110	〔fg=#FF0000〕18.4%	482	0	0	0	0	19	0	19	〔fg=#FF0000〕3.9%	
		VP #5	 IR240807027	7/8	600	0	22	〔fg=#FF0000〕3.7%		〔fg=#FF0000〕0.0%	22	〔fg=#FF0000〕3.7%	574	0	0	0	0	25	0	25	〔fg=#FF0000〕4.4%	
		VP #6	 IR240807027	7/8	600	0	28	〔fg=#FF0000〕4.7%		〔fg=#FF0000〕0.0%	28	〔fg=#FF0000〕4.7%	550	0	0	0	0	19	0	19	〔fg=#FF0000〕3.5%	
		VP #7	 IR240807027	7/8	600	0	14	〔fg=#FF0000〕2.3%		〔fg=#FF0000〕0.0%	14	〔fg=#FF0000〕2.3%	579	0	1	0	0	17	0	18	〔fg=#FF0000〕3.1%	
		VP #9	 IR240807027	7/8	600	0	69	〔fg=#FF0000〕11.5%		〔fg=#FF0000〕0.0%	69	〔fg=#FF0000〕11.5%	524	0	0	0	1	16	0	17	〔fg=#FF0000〕3.2%	
		VP #10	 IR240807027	7/8	598	0	26	〔fg=#FF0000〕4.3%		〔fg=#FF0000〕0.0%	26	〔fg=#FF0000〕4.3%	569	1	0	0	0	22	0	23	〔fg=#FF0000〕4.0%	
8/13/2024	E2-3B	VP #2	 IR240809017	9/8	600	0	10	〔fg=#FF0000〕1.7%		〔fg=#FF0000〕0.0%	14	〔fg=#FF0000〕2.3%	570	1	0	1	0	26	20	48	〔fg=#FF0000〕8.4%	
		VP #3	 IR240809017	9/8	600	0	3	〔fg=#FF0000〕0.5%		〔fg=#FF0000〕0.0%	3	〔fg=#FF0000〕0.5%	588	0	0	0	1	8	6	15	〔fg=#FF0000〕2.6%	
		VP #5	 IR240809017	9/8	600	0	11	〔fg=#FF0000〕1.8%		〔fg=#FF0000〕0.0%	14	〔fg=#FF0000〕2.3%	568	0	1	0	2	15	5	23	〔fg=#FF0000〕4.0%	
		VP #6	 IR240809017	9/8	600	0	10	〔fg=#FF0000〕1.7%		〔fg=#FF0000〕0.0%	11	〔fg=#FF0000〕1.8%	582	0	0	0	0	10	8	18	〔fg=#FF0000〕3.1%	
		VP #7	 IR240809017	9/8	600	0	0	〔fg=#FF0000〕0.0%		〔fg=#FF0000〕0.0%	0	〔fg=#FF0000〕0.0%	595	0	0	0	0	8	4	12	〔fg=#FF0000〕2.0%	
		VP #8	 IR240809017	9/8	600	0	337	〔fg=#FF0000〕56.2%		〔fg=#FF0000〕0.0%	340	〔fg=#FF0000〕56.7%	233	0	0	1	1	10	0	12	〔fg=#FF0000〕5.2%	
		VP #10	 IR240809017	9/8	600	0	26	〔fg=#FF0000〕4.3%		〔fg=#FF0000〕0.0%	29	〔fg=#FF0000〕4.8%	567	0	0	0	0	15	11	26	〔fg=#FF0000〕4.6%	
8/16/2024	E2-3B	VP #2	 IR240814027	14/8	600	0	191	〔fg=#FF0000〕31.8%		〔fg=#FF0000〕0.0%	192	〔fg=#FF0000〕32.0%	407	0	0	1	0	5	4	10	〔fg=#FF0000〕2.5%	
		VP #3	 IR240814027	14/8	600	0	211	〔fg=#FF0000〕35.2%		〔fg=#FF0000〕0.0%	216	〔fg=#FF0000〕36.0%	384	0	0	0	3	6	3	12	〔fg=#FF0000〕3.1%	
		VP #5	 IR240814027	14/8	600	0	6	〔fg=#FF0000〕1.0%		〔fg=#FF0000〕0.0%	7	〔fg=#FF0000〕1.2%	590	1	0	0	1	13	4	19	〔fg=#FF0000〕3.2%	
		VP #6	 IR240814027	14/8	600	0	38	〔fg=#FF0000〕6.3%		〔fg=#FF0000〕0.0%	40	〔fg=#FF0000〕6.7%	555	1	0	0	0	14	5	20	〔fg=#FF0000〕3.6%	
		VP #8	 IR240814027	14/8	600	0	362	〔fg=#FF0000〕60.3%		〔fg=#FF0000〕0.0%	362	〔fg=#FF0000〕60.3%	235	1	0	1	2	9	3	16	〔fg=#FF0000〕6.8%	
		VP #10	 IR240814027	14/8	600	0	4	〔fg=#FF0000〕0.7%		〔fg=#FF0000〕0.0%	10	〔fg=#FF0000〕1.7%	586	0	0	0	2	15	6	23	〔fg=#FF0000〕3.9%	
8/19/2024	E2-3A	VP #2	 IR240814027	14/8	595	0	304	〔fg=#FF0000〕51.1%		〔fg=#FF0000〕0.0%	304	〔fg=#FF0000〕51.1%	290	0	0	0	0	9	4	13	〔fg=#FF0000〕4.5%	OK bending
													95	0	0	0	0	6	2	8	〔fg=#FF0000〕8.4%	NG bending
		VP #3	 IR240814027	14/8	400	0	286	〔fg=#FF0000〕71.5%		〔fg=#FF0000〕0.0%	286	〔fg=#FF0000〕71.5%	107	0	0	0	1	1	0	2	〔fg=#FF0000〕1.9%	OK bending
													92	0	0	0	0	8	0	8	〔fg=#FF0000〕8.7%	NG bending
8/20/2024	E2-3B	VP #2	 IR240816006	16/8	600	0	152	〔fg=#FF0000〕25.3%		〔fg=#FF0000〕0.0%	152	〔fg=#FF0000〕25.3%	448	5	1	0	1	11	10	28	〔fg=#FF0000〕6.2%	
		VP #3	 IR240816006	16/8	600	0	41	〔fg=#FF0000〕6.8%		〔fg=#FF0000〕0.0%	41	〔fg=#FF0000〕6.8%	546	0	1	0	1	16	7	25	〔fg=#FF0000〕4.6%	
		VP #5	 IR240816006	16/8	600	0	12	〔fg=#FF0000〕2.0%		〔fg=#FF0000〕0.0%	15	〔fg=#FF0000〕2.5%	580	0	0	0	0	13	4	17	〔fg=#FF0000〕2.9%	
		VP #6	 IR240816006	16/8	600	0	30	〔fg=#FF0000〕5.0%		〔fg=#FF0000〕0.0%	31	〔fg=#FF0000〕5.2%	569	0	0	0	0	14	7	21	〔fg=#FF0000〕3.7%	
		VP #7	 IR240816006	16/8	600	0	58	〔fg=#FF0000〕9.7%		〔fg=#FF0000〕0.0%	58	〔fg=#FF0000〕9.7%	520	0	0	0	0	20	11	31	〔fg=#FF0000〕6.0%	
		VP #8	 IR240816006	16/8	600	0	376	〔fg=#FF0000〕62.7%		〔fg=#FF0000〕0.0%	376	〔fg=#FF0000〕62.7%	224	0	0	0	0	10	2	12	〔fg=#FF0000〕5.4%	
8/23/2024	E2-3B	〔bg=#F8CBAD〕VP #2	〔bg=#F8CBAD〕 IR240821007	〔bg=#F8CBAD〕21/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕49	〔bg=#F8CBAD,fg=#FF0000〕8.2%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕51	〔bg=#F8CBAD,fg=#FF0000〕8.5%	〔bg=#F8CBAD〕548	〔bg=#F8CBAD〕1	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕1	〔bg=#F8CBAD〕1	〔bg=#F8CBAD〕40	〔bg=#F8CBAD〕13	〔bg=#F8CBAD〕56	〔bg=#F8CBAD,fg=#FF0000〕10.2%	
		〔bg=#F8CBAD〕VP #3	〔bg=#F8CBAD〕 IR240821007	〔bg=#F8CBAD〕21/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕66	〔bg=#F8CBAD,fg=#FF0000〕11.0%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕69	〔bg=#F8CBAD,fg=#FF0000〕11.5%	〔bg=#F8CBAD〕522	〔bg=#F8CBAD〕1	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕2	〔bg=#F8CBAD〕1	〔bg=#F8CBAD〕20	〔bg=#F8CBAD〕23	〔bg=#F8CBAD〕47	〔bg=#F8CBAD,fg=#FF0000〕9.0%	
		〔bg=#F8CBAD〕VP #4	〔bg=#F8CBAD〕 IR240821007	〔bg=#F8CBAD〕21/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕398	〔bg=#F8CBAD,fg=#FF0000〕66.3%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕399	〔bg=#F8CBAD,fg=#FF0000〕66.5%	〔bg=#F8CBAD〕202	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕1	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕13	〔bg=#F8CBAD〕9	〔bg=#F8CBAD〕23	〔bg=#F8CBAD,fg=#FF0000〕11.4%	
		VP #5	 IR240821007	21/8	600	0	1	〔fg=#FF0000〕0.2%		〔fg=#FF0000〕0.0%	2	〔fg=#FF0000〕0.3%	595	0	0	0	0	15	12	27	〔fg=#FF0000〕4.5%	
		〔bg=#F8CBAD〕VP #6	〔bg=#F8CBAD〕 IR240821007	〔bg=#F8CBAD〕21/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕8	〔bg=#F8CBAD,fg=#FF0000〕1.3%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕8	〔bg=#F8CBAD,fg=#FF0000〕1.3%	〔bg=#F8CBAD〕581	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕45	〔bg=#F8CBAD〕20	〔bg=#F8CBAD〕65	〔bg=#F8CBAD,fg=#FF0000〕11.2%	
		〔bg=#F8CBAD〕VP #7	〔bg=#F8CBAD〕 IR240821007	〔bg=#F8CBAD〕21/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕16	〔bg=#F8CBAD,fg=#FF0000〕2.7%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕18	〔bg=#F8CBAD,fg=#FF0000〕3.0%	〔bg=#F8CBAD〕581	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕42	〔bg=#F8CBAD〕20	〔bg=#F8CBAD〕62	〔bg=#F8CBAD,fg=#FF0000〕10.7%	
		〔bg=#F8CBAD〕VP #8	〔bg=#F8CBAD〕 IR240821007	〔bg=#F8CBAD〕21/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕291	〔bg=#F8CBAD,fg=#FF0000〕48.5%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	〔bg=#F8CBAD〕291	〔bg=#F8CBAD,fg=#FF0000〕48.5%	〔bg=#F8CBAD〕306	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕21	〔bg=#F8CBAD〕9	〔bg=#F8CBAD〕30	〔bg=#F8CBAD,fg=#FF0000〕9.8%	
		VP #9	 IR240821007	21/8	600	0	17	〔fg=#FF0000〕2.8%		〔fg=#FF0000〕0.0%	17	〔fg=#FF0000〕2.8%	583	1	0	0	0	17	15	33	〔fg=#FF0000〕5.7%	
		VP #10	 IR240821007	21/8	600	0	28	〔fg=#FF0000〕4.7%		〔fg=#FF0000〕0.0%	34	〔fg=#FF0000〕5.7%	563	0	0	0	2	26	3	31	〔fg=#FF0000〕5.5%	
8/27/2024	E2-3A	VP #2	 IR240823007	23/8	600	0	36	〔fg=#FF0000〕6.0%		〔fg=#FF0000〕0.0%	36	〔fg=#FF0000〕6.0%	532	2	1	1	1	37	4	46	〔fg=#FF0000〕8.6%	
		〔bg=#F8CBAD〕VP #3	〔bg=#F8CBAD〕 IR240823007	〔bg=#F8CBAD〕23/8	〔bg=#F8CBAD〕600	〔bg=#F8CBAD〕0	〔bg=#F8CBAD〕70	〔bg=#F8CBAD,fg=#FF0000〕11.7%		〔bg=#F8CBAD,fg=#FF0000〕0.0%	70	〔fg=#FF0000〕11.7%	535	0	0	0	0	25	5	30	〔fg=#FF0000〕5.6%	
