## Sheet1
〔b〕RESULT CHECK FUNCTION OF LOT TEST AWF COOLING TIME															
〔bg=#B7DEE8,b〕Date	〔bg=#B7DEE8,b〕Type	〔bg=#B7DEE8,b〕Input 	〔bg=#B7DEE8,b〕OK 	〔bg=#B7DEE8,b〕Sigma 				〔bg=#B7DEE8,b〕Hearing  ( + 1V ) 				〔bg=#B7DEE8,b〕Hearing  ( + 0V ) 			
				〔bg=#B7DEE8,b〕SPL 	〔bg=#B7DEE8,b〕THD 	〔bg=#B7DEE8,b〕SPL+THD 	〔bg=#B7DEE8,b〕SPL+THD+F0	〔bg=#B7DEE8,b〕Noise 	〔bg=#B7DEE8,b〕Touch 	〔bg=#B7DEE8,b〕Total NG	〔bg=#B7DEE8,b〕NG Rate	〔bg=#B7DEE8,b〕Noise 	〔bg=#B7DEE8,b〕Touch 	〔bg=#B7DEE8,b〕Total NG	〔bg=#B7DEE8,b〕NG Rate
13/Feb	Cooling time 4s	100	84	0	0	0	0	2	14	16	16.0%	2	0	2	2.0%
				〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕12.5%	〔fg=#FF0000〕87.5%			〔fg=#FF0000〕100.0%	〔fg=#FF0000〕0.0%		
	Cooling time 8s	156	107	0	0	0	0	6	43	49	31.4%	2	4	6	3.8%
				〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕12.2%	〔fg=#FF0000〕87.8%			〔fg=#FF0000〕33.3%	〔fg=#FF0000〕66.7%		
	Cooling time 10s	122	74	0	0	0	0	5	43	48	39.3%	3	4	7	5.7%
				〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕10.4%	〔fg=#FF0000〕89.6%			〔fg=#FF0000〕42.9%	〔fg=#FF0000〕57.1%		

## Sheet2
Date	Time	Calendar Week	Projectname	Operator	Serialnumber	Frequency response [dBSPL]	100.00Hz	106.00Hz	112.00Hz	118.00Hz	125.00Hz	132.00Hz	140.00Hz	150.00Hz	160.00Hz	170.00Hz	180.00Hz	190.00Hz	200.00Hz	212.00Hz	224.00Hz	236.00Hz	250.00Hz	265.00Hz	280.00Hz	300.00Hz	315.00Hz	335.00Hz	355.00Hz	375.00Hz	400.00Hz	425.00Hz	450.00Hz	475.00Hz	500.00Hz	530.00Hz	560.00Hz	600.00Hz	630.00Hz	670.00Hz	710.00Hz	750.00Hz	800.00Hz	850.00Hz	900.00Hz	950.00Hz	1000.00Hz	1060.00Hz	1120.00Hz	1180.00Hz	1250.00Hz	1320.00Hz	1400.00Hz	1500.00Hz	1600.00Hz	1700.00Hz	1800.00Hz	1900.00Hz	2000.00Hz	2120.00Hz	2240.00Hz	2360.00Hz	2500.00Hz	2650.00Hz	2800.00Hz	3000.00Hz	3150.00Hz	3350.00Hz	3550.00Hz	3750.00Hz	4000.00Hz	4250.00Hz	4500.00Hz	4750.00Hz	5000.00Hz	5300.00Hz	5600.00Hz	6000.00Hz	6300.00Hz	6700.00Hz	7100.00Hz	7500.00Hz	8000.00Hz	8500.00Hz	9000.00Hz	9500.00Hz	10000.00Hz	10600.00Hz	11200.00Hz	11800.00Hz	12500.00Hz	13200.00Hz	14000.00Hz	Result
13-02-2025	9:46:32	7	MSU-L20S15-07	VINH GAUGE	10( 20000V)		79.85914	80.30918	80.84719	81.85273	83.02235	84.28214	85.57323	86.83441	88.11685	89.50462	91.02668	92.41466	93.75046	94.99104	96.12823	97.18287	98.27134	99.46185	100.65594	101.91322	103.18117	104.44087	105.70029	106.98821	108.23627	109.43279	110.58212	111.69129	112.72942	113.74504	114.66013	115.50635	116.23832	116.87337	117.38083	117.75511	117.92484	117.92014	117.80682	117.63127	117.4685	117.35678	117.2515	117.08425	116.81147	116.46204	116.13571	115.83812	115.4395	114.87744	114.22592	113.59249	113.17028	113.1713	113.48384	113.86065	114.25415	114.26653	113.91216	113.80593	113.91024	113.85687	113.81524	113.84845	113.66751	113.23613	112.90954	112.889	113.01138	113.48882	114.5108	115.86329	117.1717	118.2899	118.80923	118.91537	118.88173	118.784	118.72341	118.89436	118.90679	118.39341	117.64795	117.06935	116.88029	116.62783	116.87331	PASSED
13-02-2025	9:46:48	7	MSU-L20S15-07	VINH GAUGE	1.(1800V )		80.06613	80.52986	81.07654	82.08459	83.22326	84.47198	85.76932	87.01992	88.30639	89.71923	91.25209	92.63823	93.98861	95.24358	96.39588	97.46567	98.57302	99.77737	100.98262	102.25259	103.53435	104.80594	106.07721	107.36565	108.59753	109.77886	110.91689	112.01966	113.05308	114.06422	114.97	115.79697	116.49898	117.09778	117.56249	117.89007	118.01522	117.9692	117.81799	117.6103	117.41472	117.28309	117.16158	116.98426	116.70315	116.35985	116.03392	115.74154	115.34463	114.77904	114.11511	113.49127	113.07367	113.07946	113.42017	113.81886	114.20126	114.21393	113.86769	113.7592	113.87793	113.84134	113.77878	113.80532	113.61646	113.1726	112.83696	112.84328	112.96323	113.4275	114.4222	115.76718	117.08041	118.19741	118.73452	118.87593	118.86292	118.7277	118.59621	118.70121	118.67876	118.21221	117.62527	117.29724	117.35916	117.27404	117.59029	PASSED
13-02-2025	9:47:06	7	MSU-L20S15-07	VINH GAUGE	2.(1800V )		80.16371	80.62973	81.18195	82.19877	83.33269	84.57986	85.86975	87.12379	88.40508	89.83419	91.36314	92.7567	94.09838	95.34538	96.48082	97.5441	98.64471	99.84757	101.05415	102.324	103.6064	104.87966	106.15675	107.46352	108.73026	109.94558	111.11135	112.23353	113.27817	114.28836	115.19045	116.01342	116.71463	117.31112	117.77387	118.09702	118.21696	118.16438	118.00446	117.78372	117.58544	117.44767	117.32244	117.14276	116.86244	116.51104	116.17994	115.87758	115.47291	114.90701	114.2464	113.6221	113.20048	113.20237	113.52741	113.91845	114.31033	114.3295	113.98987	113.88562	113.98495	113.9293	113.84866	113.86618	113.66971	113.22722	112.90298	112.93551	113.08177	113.59266	114.63408	115.95196	117.21861	118.28999	118.76733	118.84374	118.80146	118.68641	118.60696	118.75856	118.78095	118.34245	117.72183	117.30349	117.24919	117.10118	117.35162	PASSED
13-02-2025	9:47:21	7	MSU-L20S15-07	VINH GAUGE	3.(1800V )		79.53719	80.01951	80.60227	81.6078	82.7249	84.00202	85.32222	86.58547	87.87618	89.27213	90.78204	92.16099	93.49585	94.75319	95.90981	96.97952	98.0782	99.2773	100.47498	101.73755	103.01175	104.27819	105.54861	106.84595	108.09857	109.29048	110.4261	111.52445	112.5628	113.60245	114.55548	115.452	116.2367	116.91828	117.45424	117.84388	118.01793	118.00845	117.88082	117.68346	117.4977	117.36444	117.23789	117.0505	116.75972	116.39688	116.05369	115.74003	115.33539	114.77405	114.09257	113.46933	113.05487	113.0505	113.36553	113.75931	114.13815	114.13939	113.78693	113.66572	113.78565	113.74176	113.65541	113.67732	113.49654	113.05388	112.71721	112.75805	112.90388	113.40867	114.44808	115.79957	117.12881	118.24129	118.74802	118.85037	118.82857	118.67282	118.50751	118.63872	118.71063	118.29324	117.69258	117.34005	117.31093	117.1076	117.30419	PASSED
13-02-2025	9:47:36	7	MSU-L20S15-07	VINH GAUGE	4.(1800V )		79.60209	80.08055	80.6507	81.67743	82.82247	84.07927	85.37793	86.63787	87.91135	89.27479	90.75475	92.12129	93.44697	94.7053	95.86278	96.93998	98.04191	99.23878	100.43022	101.69337	102.96955	104.23756	105.51293	106.81707	108.07853	109.30008	110.47099	111.6049	112.67624	113.73648	114.69219	115.58399	116.35839	117.02592	117.55183	117.93544	118.10671	118.09495	117.97004	117.77546	117.58911	117.45318	117.32604	117.13761	116.84555	116.4769	116.13	115.80961	115.39641	114.83555	114.16662	113.54511	113.13364	113.12845	113.4295	113.80892	114.1777	114.18187	113.83703	113.71991	113.81962	113.77405	113.70097	113.72472	113.55244	113.14621	112.81207	112.80925	112.91614	113.40045	114.43878	115.79361	117.09494	118.19788	118.71524	118.82612	118.80986	118.69163	118.60491	118.76937	118.80252	118.31536	117.62549	117.13379	117.02733	116.77409	116.99751	PASSED
13-02-2025	9:47:49	7	MSU-L20S15-07	VINH GAUGE	5.(1800V )		80.15054	80.63175	81.18154	82.18572	83.33616	84.58927	85.87704	87.13176	88.42354	89.84596	91.36533	92.74729	94.09315	95.35446	96.50125	97.5781	98.69171	99.89947	101.10299	102.37351	103.65678	104.93125	106.20664	107.50088	108.74365	109.92934	111.07073	112.18073	113.22473	114.24901	115.17018	116.0117	116.72557	117.32861	117.79233	118.11531	118.23395	118.17986	118.01823	117.79713	117.59192	117.45254	117.32563	117.14626	116.86444	116.5181	116.18675	115.88547	115.48754	114.93119	114.26098	113.64714	113.2383	113.23996	113.55724	113.95225	114.33282	114.35133	114.01895	113.926	114.05478	114.01504	113.94761	113.9731	113.79049	113.35641	113.04087	113.0421	113.12227	113.5003	114.40463	115.66262	116.97246	118.1232	118.68811	118.87274	118.90584	118.8049	118.73272	118.88547	118.82881	118.30507	117.6133	117.07857	116.92862	116.76486	117.03849	PASSED
13-02-2025	9:48:02	7	MSU-L20S15-07	VINH GAUGE	6.(1800V )		79.99414	80.47433	81.02382	82.03502	83.15253	84.3937	85.67257	86.92301	88.20865	89.62033	91.13591	92.51461	93.85032	95.10372	96.24516	97.31492	98.41992	99.62206	100.81962	102.0855	103.36324	104.63159	105.90422	107.20612	108.4648	109.67043	110.82781	111.9464	112.99296	114.01307	114.93122	115.77634	116.49845	117.11506	117.59818	117.94111	118.07878	118.04033	117.89051	117.68228	117.49	117.35502	117.23262	117.05522	116.77397	116.42264	116.09099	115.79048	115.3962	114.84079	114.17386	113.55842	113.14855	113.14726	113.45624	113.85286	114.23567	114.24463	113.90119	113.8038	113.91342	113.88355	113.8494	113.89087	113.72719	113.33378	113.02296	113.03652	113.16942	113.6199	114.58042	115.87685	117.1873	118.30138	118.81778	118.90025	118.7834	118.59273	118.44341	118.4454	118.24778	117.7497	117.19011	116.95408	117.20728	117.39718	117.94663	PASSED
13-02-2025	9:48:19	7	MSU-L20S15-07	VINH GAUGE	7.(1800V )		80.08122	80.53766	81.07187	82.06589	83.18388	84.43294	85.72563	86.98739	88.28177	89.70134	91.2097	92.59343	93.93227	95.18922	96.33349	97.41113	98.51836	99.72609	100.92825	102.19847	103.47995	104.74919	106.01404	107.29015	108.50452	109.65684	110.76597	111.85632	112.89458	113.92491	114.86304	115.72847	116.46399	117.0867	117.57057	117.91238	118.04584	118.00572	117.85906	117.65221	117.46066	117.33084	117.21129	117.03429	116.75504	116.40764	116.07926	115.77884	115.38285	114.82888	114.15614	113.54381	113.13446	113.13316	113.4418	113.83836	114.21265	114.22648	113.89447	113.80469	113.92144	113.88872	113.8327	113.86557	113.7015	113.30183	112.98166	112.97058	113.05211	113.42987	114.33521	115.60037	116.89209	117.99778	118.52248	118.65567	118.65547	118.57524	118.54236	118.7204	118.75137	118.31636	117.64049	117.11466	116.92497	116.71303	116.88802	PASSED
13-02-2025	9:48:32	7	MSU-L20S15-07	VINH GAUGE	8.(1800V )		80.10161	80.58481	81.14341	82.15417	83.27426	84.52838	85.80592	87.04559	88.31466	89.70926	91.21042	92.58105	93.91326	95.15084	96.32466	97.42826	98.55114	99.78719	101.02623	102.30986	103.60674	104.89816	106.18031	107.4806	108.7319	109.92978	111.08546	112.19972	113.23955	114.24836	115.14828	115.96315	116.6545	117.239	117.68776	117.99419	118.09658	118.02346	117.84371	117.60177	117.38671	117.23195	117.09587	116.90599	116.62305	116.2629	115.9301	115.62508	115.22565	114.66874	114.00498	113.38877	112.9825	112.98431	113.29196	113.69355	114.07662	114.08436	113.73976	113.62874	113.72447	113.6828	113.60809	113.63404	113.46831	113.05497	112.73422	112.77595	112.93582	113.44175	114.45401	115.6979	116.89242	117.91789	118.36855	118.4221	118.37901	118.27823	118.22044	118.37928	118.37137	117.95129	117.4172	117.06071	116.99596	116.92436	117.22357	PASSED
13-02-2025	9:48:45	7	MSU-L20S15-07	VINH GAUGE	9.(1800V )		80.13019	80.59047	81.14448	82.15125	83.27857	84.52988	85.82308	87.07071	88.34558	89.77891	91.29823	92.68137	94.0292	95.27612	96.40903	97.47675	98.57925	99.77606	100.9786	102.2451	103.52314	104.79313	106.06434	107.36196	108.61228	109.80568	110.94784	112.05524	113.09221	114.10507	115.01653	115.85606	116.57159	117.18195	117.65864	117.99723	118.12895	118.08807	117.93993	117.72991	117.53177	117.39955	117.27598	117.09422	116.8071	116.45735	116.12186	115.81817	115.41913	114.86558	114.19272	113.57876	113.16806	113.16788	113.4823	113.88444	114.26341	114.27549	113.92507	113.81658	113.91923	113.87525	113.82788	113.86431	113.69205	113.27497	112.94573	112.94372	113.08058	113.58274	114.61804	115.92303	117.1661	118.22987	118.71064	118.77642	118.71568	118.57053	118.46063	118.57407	118.5297	118.02934	117.41595	117.04693	117.09678	117.02347	117.40567	PASSED
