## NG rate
〔bg=#BFBFBF,b〕TITLE	〔b〕REPORT TEST CMG / CPT / SMG-LONG REDUCE DIMENSION - 161014													〔bg=#BFBFBF,b〕Dept	〔b〕ME
														〔bg=#BFBFBF,b〕Date	〔b〕12/Jan
														〔bg=#BFBFBF,b〕Marker	〔b〕Thuy
〔bg=#BFBFBF,b〕I. Purpose.															
 - Improve NG hearing															
〔bg=#BFBFBF,b〕II. Content.															
 - To use semi Yoke from Korea change dimension, use VP 150 															
 + CMG/CPT: reudce dimension from 															
 + SMG-Long : reduce dimension form 															
〔bg=#BFBFBF,b〕III. Result 															
〔b〕1. RESULT Test Function															
	〔bg=#95B3D7,b〕Date	〔bg=#95B3D7,b〕Type	〔bg=#95B3D7,b〕Input 	〔bg=#95B3D7,b〕OK 	〔bg=#95B3D7,b〕Sigma 				〔bg=#95B3D7,b〕Hearing 		〔bg=#95B3D7,b〕HOHD	〔bg=#95B3D7,b〕Total NG	〔bg=#95B3D7,b〕Total NG rate		
					〔bg=#95B3D7,b〕SPL 	〔bg=#95B3D7,b〕THD 	〔bg=#95B3D7,b〕SPL+THD 	〔bg=#95B3D7,b〕SPL+THD+F0	〔bg=#95B3D7,b〕Noise 	〔bg=#95B3D7,b〕Touch 					
	1/12/2024	Test Yoke	285	281	0	0	0	0	4	0	0	4	〔fg=#FF0000,b〕1.4%		
					〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕100.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%				
		Normal	844	824	0	0	0	0	20	0	0	20	〔fg=#FF0000,b〕2.4%		
					〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕100.0%	〔fg=#FF0000〕0.0%	〔fg=#FF0000〕0.0%				
	〔fg=#0000FF,b〕 => NG rate of test yoke is reduce 														
〔bg=#BFBFBF,b〕4. Decision															

## Analyse NG
〔bg=#C0C0C0,b〕TITLE		〔b〕REPORT ANALYZE NG FUNCTION MODEL BRS-161014									〔bg=#C0C0C0,b〕Dept	ME 			
											〔bg=#C0C0C0,b〕Date	12-Jan-24			
											〔bg=#C0C0C0,b〕Maker				
〔bg=#C0C0C0,b〕1. Problem															
-NG function BRS-161014															
〔bg=#C0C0C0,b〕2. Result NG 															
〔fg=#FF0000〕- Type total function NG  : 20pcs															
〔bg=#C0C0C0,b〕3. Result analysis NG Function															
〔fg=#FF0000〕- Data analysis 															〔fg=#FFFFFF,b〕No
〔fg=#FF0000,b〕            NG Hearing Noise + Touch															
	〔b〕TYPE				〔b〕Total	〔b〕Q'ty	〔b〕Portion	〔b〕Decap reason							
	Coil deform				4	1	25.0%								
	Coil offset, MG Offset					1									
	Particle					1	25.0%								
	Coil +SP Gap					1	25.0%								
				.											
〔bg=#C0C0C0,b〕4. DECISION															
			〔b〕RESULT ANALYSE NG FUNCTION OF BRS 161014												
			〔bg=#C5D9F1〕No	〔bg=#C5D9F1〕Reason NG	〔bg=#C5D9F1〕Q'ty analyse	〔bg=#C5D9F1〕Q'ty NG		〔bg=#C5D9F1,fg=#FF0000〕NG rate	〔bg=#C5D9F1〕Portion						
			1	Coil deform	4	1		〔fg=#FF0000〕0.25	〔fg=#FF0000〕0.25						
			2	Coil offset, MG Offset		1		〔fg=#FF0000〕0.25	〔fg=#FF0000〕0.25						
			3	Particle		1		〔fg=#FF0000〕0.25	〔fg=#FF0000〕0.25						
			4	Coil +SP Gap		1		〔fg=#FF0000〕0.25	〔fg=#FF0000〕0						
				.											

## NTI_종합
〔b〕MASK	
HZ	%
100	40
200	30
300	30
400	40
500	40
1000	10
2000	5
7000	11
10000	11
14000	5

## SPL DATA_(NTI
	〔fg=#0000FF,b〕MASK 1	〔fg=#0000FF,b〕MASK 2	〔fg=#0000FF,b〕 ST AVG		〔fg=#0000FF,b〕NORMAL #1	〔fg=#0000FF,b〕NORMAL #2	〔fg=#0000FF,b〕NORMAL #3	〔fg=#0000FF,b〕NORMAL #4	〔fg=#0000FF,b〕NORMAL #5	〔fg=#0000FF,b〕NORMAL #6	〔fg=#0000FF,b〕NORMAL #7	〔fg=#0000FF,b〕NORMAL #8	〔fg=#0000FF,b〕NORMAL #9	〔fg=#0000FF,b〕NORMAL #10	〔fg=#FF0000,b〕NORMAL #AVG		〔fg=#0000FF,b〕TEST #1	〔fg=#0000FF,b〕TEST #2	〔fg=#0000FF,b〕TEST #3	〔fg=#0000FF,b〕TEST #4	〔fg=#0000FF,b〕TEST #5	〔fg=#0000FF,b〕TEST #6	〔fg=#0000FF,b〕TEST #7	〔fg=#0000FF,b〕TEST #8	〔fg=#0000FF,b〕TEST #9	〔fg=#0000FF,b〕TEST #10	〔fg=#FF0000,b〕TEST #AVG			〔fg=#0000FF,b〕ST#4	〔fg=#0000FF,b〕ST#5	〔fg=#FF0000,b〕ST AVG
265	93.47574	87.47574	90.47574		90.87559	90.16591	90.36328	90.5029	90.84205	90.78889	90.22057	90.66488	90.61872	90.34623	90.53890		89.8677	89.29218	90.18127	89.55358	90.19857	89.77785	89.61894	90.26891	90.01253	89.58677	89.83583			90.14854	90.80295	90.47574
280	94.60308	88.60308	91.60308		91.99829	91.28212	91.48238	91.62717	91.96332	91.90965	91.33842	91.7902	91.73579	91.46175	91.65891		90.9899	90.40723	91.30558	90.66862	91.31851	90.89585	90.73862	91.39385	91.13155	90.70349	90.95532			91.27481	91.93134	91.60308
300	95.79892	89.79892	92.79892		93.1869	92.46469	92.6656	92.81139	93.14931	93.10124	92.52628	92.97942	92.92122	92.6495	92.84556		92.17822	91.58893	92.49421	91.85461	92.50891	92.06555	91.92441	92.58464	92.31699	91.89343	92.14099			92.4732	93.12465	92.79892
315	96.99922	90.99922	93.99922		94.38158	93.64864	93.85488	94.00521	94.3459	94.29595	93.71356	94.17621	94.1125	93.83221	94.03666		93.37062	92.77292	93.68854	93.04617	93.70851	93.26153	93.11539	93.783	93.50845	93.08479	93.33399			93.67676	94.32168	93.99922
335	98.19562	92.19562	95.19562		95.57302	94.83119	95.03678	95.19914	95.53931	95.49134	94.89564	95.36961	95.29991	95.01787	95.22538		94.56154	93.95277	94.88108	94.23312	94.90055	94.45172	94.30255	94.97669	94.70004	94.27196	94.52320			94.87538	95.51585	95.19562
355	99.41006	93.41006	96.41006		96.78255	96.03208	96.23692	96.40781	96.75181	96.70721	96.09651	96.58209	96.50496	96.22173	96.43237		95.76418	95.1474	96.09102	95.43003	96.11265	95.65591	95.50776	96.18697	95.90638	95.47729	95.72796			96.0902	96.72992	96.41006
375	100.66857	94.66857	97.66857		98.03763	97.27293	97.47961	97.65523	98.0076	97.96189	97.33733	97.83565	97.75054	97.46831	97.68067		97.01266	96.38177	97.34426	96.67363	97.36858	96.9041	96.75497	97.43686	97.15607	96.72358	96.97565			97.34834	97.98879	97.66857
400	101.90903	95.90903	98.90903		99.27579	98.49585	98.70466	98.891	99.24637	99.19887	98.55934	99.07394	98.97853	98.69645	98.91208		98.24516	97.5987	98.57985	97.90068	98.60946	98.13381	97.98488	98.67338	98.39044	97.95196	98.20683			98.58723	99.23083	98.90903
425	103.14462	97.14462	100.14462		100.50764	99.7119	99.92212	100.11858	100.47884	100.43099	99.77676	100.30592	100.19959	99.91933	100.13717		99.47279	98.8084	99.81088	99.11997	99.84386	99.35709	99.21023	99.90297	99.61895	99.17582	99.43210			99.82152	100.46772	100.14462
450	104.38236	98.38236	101.38236		101.74052	100.92686	101.14103	101.34693	101.7124	101.66305	100.99413	101.53859	101.42258	101.14196	101.36280		100.70233	100.01848	101.0444	100.34149	101.0824	100.58316	100.43677	101.13688	100.8484	100.40265	100.65970			101.05704	101.70768	101.38236
475	105.65041	99.65041	102.65041		103.00313	102.17124	102.39019	102.60847	102.97649	102.92544	102.24094	102.80342	102.67653	102.39747	102.61933		101.96638	101.26051	102.3102	101.59613	102.35223	101.84254	101.69657	102.40366	102.11124	101.66244	101.92019			102.32157	102.97925	102.65041
500	106.93384	100.93384	103.93384		104.28379	103.43752	103.65798	103.89076	104.26095	104.20811	103.50757	104.0869	103.95049	103.67149	103.89556		103.25213	102.52474	103.59519	102.87289	103.63871	103.1208	102.97638	103.69331	103.39588	102.94475	103.20148			103.59904	104.26864	103.93384
530	108.35410	102.35410	105.35410		105.70355	104.8429	105.06384	105.3129	105.68434	105.62725	104.91246	105.49566	105.35837	105.07727	105.30785		104.68047	103.92946	105.02088	104.28936	105.06172	104.53736	104.39365	105.1235	104.82143	104.37311	104.62309			105.01018	105.69801	105.35410
560	109.75890	103.75890	106.75890		107.10934	106.23562	106.45548	106.72042	107.09177	107.03066	106.30354	106.87554	106.74877	106.46384	106.70350		106.09395	105.32341	106.43058	105.69022	106.47081	105.93782	105.79087	106.53958	106.23265	105.79096	106.03008			106.40533	107.11247	106.75890
600	111.26272	105.26272	108.26272		108.6126	107.72808	107.94615	108.22693	108.59475	108.52928	107.7911	108.33536	108.23492	107.94713	108.19463		107.60701	106.82335	107.93887	107.19052	107.98611	107.44064	107.28647	108.05466	107.75027	107.31466	107.53926			107.89899	108.62645	108.26272
630	112.79872	106.79872	109.79872		110.146	109.25791	109.47426	109.76911	110.1221	110.05449	109.31363	109.82244	109.75428	109.47109	109.71853		109.15609	108.37126	109.4811	108.73822	109.54271	108.9874	108.8265	109.60069	109.30701	108.88196	109.08929			109.42611	110.17133	109.79872
670	114.33324	108.33324	111.33324		111.67675	110.79641	111.01301	111.3182	111.6384	111.57168	110.84463	111.3118	111.27755	111.00944	111.24579		110.71662	109.94031	111.02376	110.31023	111.10831	110.54875	110.38802	111.14106	110.87155	110.46827	110.65169			110.95365	111.71283	111.33324
