"Source","SourceFile","ProductGroup","GroupSort","GroupName","Material","LineShift"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-KR-R","TIA-338-FRONT-BK-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-TW-L","TIA-338-FRONT-BK-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-TW-R","TIA-338-FRONT-BK-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-WW-L","TIA-338-FRONT-BK-WW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-WW-L","TIA-338-FRONT-BK-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-WW-R","TIA-338-FRONT-BK-WW-R_B28A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-BK-WW-R","TIA-338-FRONT-BK-WW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-KR-L","TIA-338-FRONT-WH-KR-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-KR-L","TIA-338-FRONT-WH-KR-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-KR-R","TIA-338-FRONT-WH-KR-R_B28A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-KR-R","TIA-338-FRONT-WH-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-TW-L","TIA-338-FRONT-WH-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-TW-R","TIA-338-FRONT-WH-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-WW-L","TIA-338-FRONT-WH-WW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-WW-L","TIA-338-FRONT-WH-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-WW-R","TIA-338-FRONT-WH-WW-R_B28A"
"JSON","TIA-338-FRONT.json","TWS","0","338-FRONT-C2","TIA-338-FRONT-WH-WW-R","TIA-338-FRONT-WH-WW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-AP-KR-L","TIA-338-FRONT-AP-KR-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-AP-KR-L","TIA-338-FRONT-AP-KR-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-AP-TW-L","TIA-338-FRONT-AP-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-AP-WW-L","TIA-338-FRONT-AP-WW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-AP-WW-L","TIA-338-FRONT-AP-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-BK-KR-L","TIA-338-FRONT-BK-KR-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-BK-KR-L","TIA-338-FRONT-BK-KR-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-BK-TW-L","TIA-338-FRONT-BK-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-BK-WW-L","TIA-338-FRONT-BK-WW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-BK-WW-L","TIA-338-FRONT-BK-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-WH-KR-L","TIA-338-FRONT-WH-KR-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-WH-KR-L","TIA-338-FRONT-WH-KR-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-WH-TW-L","TIA-338-FRONT-WH-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-WH-WW-L","TIA-338-FRONT-WH-WW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-WH-WW-L","TIA-338-FRONT-WH-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-AP-KR-R","TIA-338-FRONT-AP-KR-R_B28A"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-AP-KR-R","TIA-338-FRONT-AP-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-AP-TW-R","TIA-338-FRONT-AP-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-AP-WW-R","TIA-338-FRONT-AP-WW-R_B28A"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-AP-WW-R","TIA-338-FRONT-AP-WW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-BK-KR-R","TIA-338-FRONT-BK-KR-R_B28A"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-BK-KR-R","TIA-338-FRONT-BK-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-BK-TW-R","TIA-338-FRONT-BK-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-BK-WW-R","TIA-338-FRONT-BK-WW-R_B28A"
