"Source","SourceFile","ProductGroup","GroupSort","GroupName","Material","LineShiftCount","LineShifts"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-AP-WW-L","2","TIA-338-FRONT-AP-WW-L_B29A | TIA-338-FRONT-AP-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-BK-KR-L","2","TIA-338-FRONT-BK-KR-L_B29A | TIA-338-FRONT-BK-KR-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-BK-TW-L","1","TIA-338-FRONT-BK-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-BK-WW-L","2","TIA-338-FRONT-BK-WW-L_B29A | TIA-338-FRONT-BK-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-WH-KR-L","2","TIA-338-FRONT-WH-KR-L_B29A | TIA-338-FRONT-WH-KR-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-WH-TW-L","1","TIA-338-FRONT-WH-TW-L_B29A"
"JSON","TIA-338-FRONT.json","TWS","1","338-FRONT-L","TIA-338-FRONT-WH-WW-L","2","TIA-338-FRONT-WH-WW-L_B29A | TIA-338-FRONT-WH-WW-L_B29B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-AP-KR-R","2","TIA-338-FRONT-AP-KR-R_B28A | TIA-338-FRONT-AP-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-AP-TW-R","1","TIA-338-FRONT-AP-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-AP-WW-R","2","TIA-338-FRONT-AP-WW-R_B28A | TIA-338-FRONT-AP-WW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-BK-KR-R","2","TIA-338-FRONT-BK-KR-R_B28A | TIA-338-FRONT-BK-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-BK-TW-R","1","TIA-338-FRONT-BK-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-BK-WW-R","2","TIA-338-FRONT-BK-WW-R_B28A | TIA-338-FRONT-BK-WW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-WH-KR-R","2","TIA-338-FRONT-WH-KR-R_B28A | TIA-338-FRONT-WH-KR-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-WH-TW-R","1","TIA-338-FRONT-WH-TW-R_B28B"
"JSON","TIA-338-FRONT.json","TWS","2","338-FRONT-R","TIA-338-FRONT-WH-WW-R","2","TIA-338-FRONT-WH-WW-R_B28A | TIA-338-FRONT-WH-WW-R_B28B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-AP-R-RA1","2","ASSY REAR-338-AP-R-RA1_C21A | ASSY REAR-338-AP-R-RA1_C21B"
"JSON","TIA-338-RA.json","TWS","0","338-RA-C2","ASSY REAR-338-AP-L-RA1","2","ASSY REAR-338-AP-L-RA1_C22A | ASSY REAR-338-AP-L-RA1_C22B"
