	〔fg=#0000FF,b〕MASK 1	〔fg=#0000FF,b〕MASK 2	〔fg=#0000FF,b〕 ST 		〔fg=#0000FF,b〕Test 1  #1	〔fg=#0000FF,b〕Test 1  #2	〔fg=#0000FF,b〕Test 1  #3	〔fg=#0000FF,b〕Test 1  #4	〔fg=#0000FF,b〕Test 1  #5	〔fg=#0000FF,b〕Test 1  #6	〔fg=#0000FF,b〕Test 1  #7	〔fg=#0000FF,b〕Test 1  #8	〔fg=#0000FF,b〕Test 1  #9	〔fg=#0000FF,b〕Test 1  #10	〔fg=#FF0000,b〕CD KR AVG		〔fg=#0000FF,b〕Test 2 #1	〔fg=#0000FF,b〕Test 2 #2	〔fg=#0000FF,b〕Test 2 #3	〔fg=#0000FF,b〕Test 2 #4	〔fg=#0000FF,b〕Test 2 #5	〔fg=#0000FF,b〕Test 2 #6	〔fg=#0000FF,b〕Test 2 #7	〔fg=#0000FF,b〕Test 2 #8	〔fg=#0000FF,b〕Test 2 #9	〔fg=#0000FF,b〕Test 2 #10	〔fg=#FF0000,b〕CD GES TRADING  AVG		〔fg=#0000FF,b〕Normal  #1	〔fg=#0000FF,b〕Normal  #2	〔fg=#0000FF,b〕Normal  #3	〔fg=#0000FF,b〕Normal  #4	〔fg=#0000FF,b〕Normal  #5	〔fg=#0000FF,b〕Normal  #6	〔fg=#0000FF,b〕Normal  #7	〔fg=#0000FF,b〕Normal  #8	〔fg=#0000FF,b〕Normal  #9	〔fg=#0000FF,b〕Normal  #10	〔fg=#FF0000,b〕Normal  AVG
265	101.85020	95.85020	98.8502		99.23128	99.1202	99.1166	99.11807	99.15313	98.92692	99.10605	99.29581	99.13256	99.33024	99.15309		99.12507	99.12079	99.22297	99.23343	99.05916	98.91363	99.53181	98.91221	99.28354	99.47063	99.18732		99.24696	99.50597	99.51778	99.01174	99.29462	99.01715	99.13353	99.11248	99.39477	99.11105	99.23461
280	103.08741	97.08741	100.08741		100.47059	100.36885	100.35669	100.35466	100.39075	100.16138	100.34191	100.53457	100.36687	100.56998	100.39163		100.3755	100.35429	100.46485	100.48062	100.28445	100.14978	100.77534	100.15189	100.52879	100.72041	100.42859		100.48715	100.75291	100.76596	100.24587	100.52126	100.25792	100.37353	100.34249	100.64843	100.35886	100.47544
300	104.38468	98.38468	101.38468		101.76877	101.67223	101.65046	101.65594	101.69491	101.46308	101.63486	101.82625	101.6595	101.87081	101.68968		101.67887	101.6506	101.76208	101.78586	101.56837	101.43875	102.07531	101.44371	101.82681	102.02598	101.72563		101.78301	102.05274	102.07767	101.53851	101.79978	101.56106	101.67065	101.62728	101.96111	101.66116	101.77330
315	105.69733	99.69733	102.69733		103.08068	102.99095	102.95863	102.96249	103.00337	102.77169	102.93783	103.13158	102.96755	103.18433	102.99891		102.99829	102.95848	103.07374	103.10858	102.86126	102.74871	103.39851	102.75657	103.14164	103.34736	103.03931		103.09013	103.36874	103.39488	102.83818	103.08729	102.86905	102.97708	102.92934	103.28565	102.97655	103.08169
335	107.00116	101.00116	104.00116		104.38647	104.29942	104.25895	104.25586	104.30052	104.07004	104.23081	104.42859	104.26834	104.4893	104.29883		104.30625	104.25648	104.37886	104.42542	104.14034	104.05079	104.71839	104.06025	104.4461	104.66154	104.34444		104.38819	104.67659	104.70148	104.13256	104.36125	104.17149	104.27511	104.22004	104.60129	104.28352	104.38115
355	108.31684	102.31684	105.31684		105.70279	105.6186	105.57003	105.55908	105.60594	105.3796	105.528	105.72925	105.57846	105.80373	105.60755		105.62451	105.5641	105.69239	105.75436	105.41931	105.36623	106.04707	105.37698	105.75813	105.98285	105.65859		105.69113	105.99206	106.01445	105.43665	105.63434	105.48272	105.58174	105.52183	105.92401	105.60206	105.68810
375	109.67487	103.67487	106.67487		107.05802	106.97749	106.92341	106.90057	106.9476	106.7309	106.86116	107.06432	106.92947	107.15996	106.95529		106.98254	106.90987	107.04538	107.12418	106.72859	106.72496	107.41646	106.73798	107.10941	107.34507	107.01244		107.03184	107.34596	107.36434	106.77865	106.93677	106.83253	106.92913	106.86058	107.27801	106.96436	107.03222
400	111.01300	105.01300	108.013		108.39126	108.32061	108.25737	108.21758	108.26215	108.06176	108.1706	108.37026	108.26195	108.49767	108.28112		108.32121	108.23632	108.38279	108.47334	108.00032	108.06916	108.77309	108.08525	108.43797	108.68156	108.34610		108.35151	108.67666	108.68991	108.09736	108.20407	108.16056	108.25218	108.17947	108.59498	108.31134	108.35180
425	112.32723	106.32723	109.32723		109.69903	109.63974	109.5697	109.50176	109.54258	109.36581	109.45195	109.63942	109.56804	109.81317	109.57912		109.63068	109.53801	109.69609	109.79469	109.23096	109.39645	110.10762	109.4118	109.73679	109.98703	109.65301		109.64627	109.97943	109.98557	109.38243	109.43528	109.46244	109.54537	109.47073	109.87319	109.63385	109.64146
450	113.60760	107.60760	110.6076		110.96788	110.92271	110.84976	110.73966	110.78039	110.6293	110.69541	110.86372	110.83579	111.09326	110.83779		110.89885	110.80296	110.97515	111.07822	110.41491	110.69486	111.40735	110.70903	110.9912	111.25298	110.92255		110.89772	111.23901	111.24138	110.61751	110.61931	110.72269	110.80064	110.72406	111.11831	110.91574	110.88964
